"nom";"veg_terr";"veg_eau";"macroinv_ben";"macroinv_pel";"macroinv_sur";"crap_ad";"crap_tet";"crap_oeuf";"crap_mort";"gren_ad";"gren_tet";"gren_oeuf";"gren_mort";"trit_ad";"trit_tet";"trit_oeuf";"trit_mort";"odo_ad";"odo_exuv";"odo_larv";"odo_mort";"poissons";"salmonides";"veg_fav";"macroinv_fav";"odo_fav";"crap_fav";"gren_fav";"trit_fav";"amph_fav"
"R1";2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;"oui";NA;1;0;0;0;0,333333333333333;0;0,111111111111111
"R2";4;0;2;0;1;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;"oui";"oui";1,66666666666667;1;0;1,33333333333333;0,333333333333333;0;0,555555555555556
"R3";2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"oui";"oui";1,33333333333333;0;0,333333333333333;0,666666666666667;0;0;0,222222222222222
"R4";1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"non";"non";0,333333333333333;0,75;0;0;0;0;0
"R5";0;0;0;2;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;"non";"non";0;0,75;0;0;1,33333333333333;0;0,444444444444444
"R6";1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"non";"non";0,333333333333333;1,25;0;0;0;0;0
"R7";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"non";"non";0;0,25;0;0;0;0;0
"R8";3;2;1;1;1;0;0;0;0;1;0;2;4;3;0;0;0;0;0;0;0;"oui";NA;2;1;0;0;1;1;0,666666666666667
"R9";2;0;1;3;1;0;0;0;0;4;0;4;0;4;0;0;0;0;0;0;0;"non";"non";1;1,5;0;0;2,66666666666667;1,33333333333333;1,33333333333333
"R10";0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"non";"non";0;1;0;0;0;0;0
"R11";2;1;1;3;1;0;1;0;1;0;1;0;0;4;0;0;0;0;0;1;1;"non";"non";1,33333333333333;1,75;0,333333333333333;0,333333333333333;0,333333333333333;1,33333333333333;0,555555555555556
"R12";2;1;1;0;1;2;4;1;1;1;0;0;0;1;0;0;1;0;0;0;0;"oui";NA;1,33333333333333;0,5;0;2,33333333333333;0,333333333333333;0,333333333333333;1
"R13";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"non";"non";0,333333333333333;0,25;0;0;0;0;0
"R14";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"non";"non";0;0,5;0;0;0;0;0
"R15";1;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;"non";"non";0,333333333333333;0;0;0;1,33333333333333;0,333333333333333;0,555555555555556
"R16";1;0;0;0;0;0;4;0;0;0;4;0;0;1;0;0;0;0;0;0;0;"non";"non";0,333333333333333;0;0;1,33333333333333;1,33333333333333;0,333333333333333;1
"R17";4;0;0;0;0;1;0;0;0;4;0;4;0;4;0;0;1;0;0;0;0;"oui";NA;1,66666666666667;0;0;0,333333333333333;2,66666666666667;1,33333333333333;1,33333333333333
"R18";3;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"oui";"oui";2;0;0;1;0;0;0,333333333333333
"R19";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"oui";"oui";1,33333333333333;0;0;0;0;0;0
"R20";4;0;4;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;"oui";"oui";1,66666666666667;1,75;0;0;0;0,333333333333333;0,111111111111111
"R21";0;0;0;0;0;0;4;0;0;1;3;0;0;1;0;0;0;0;0;0;0;"non";"non";0;0;0;1,33333333333333;1;0,333333333333333;0,888888888888889
"R22";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"non";"non";0,666666666666667;0;0;0;0;0;0
"R23";4;0;2;2;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;"non";"non";1,66666666666667;1,5;0;1,33333333333333;0,666666666666667;0,666666666666667;0,888888888888889
"R24";1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"non";"non";0,333333333333333;1,75;0;0;0;0;0
"R25";4;0;3;3;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;"non";"non";1,66666666666667;2,25;0;0,666666666666667;0;0,333333333333333;0,333333333333333
"R26";4;0;4;4;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;"non";"non";1,66666666666667;3,25;0;0;1,33333333333333;0;0,444444444444444
"R27";4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;"non";"non";1,66666666666667;0;0;0;1;0;0,333333333333333
"R28";4;0;2;4;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;"non";"non";1,66666666666667;3;0;0;0,666666666666667;0;0,222222222222222
"R29";2;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"non";"non";1;0,75;0;1,33333333333333;0;0;0,444444444444444
