"nom";"pres_veg";"pres_macroinv";"pres_amph";"pres_macroinv_ben";"pres_macroinv_pel";"pres_macroinv_sur";"pres_crap";"pres_gren";"pres_trit"
"R1";1;0;1;0;0;0;0;1;0
"R2";1;1;1;1;0;1;1;1;0
"R3";1;0;1;0;0;0;1;0;0
"R4";1;1;0;0;1;0;0;0;0
"R5";0;1;1;0;1;0;0;1;0
"R6";1;1;0;1;1;0;0;0;0
"R7";0;1;0;1;0;0;0;0;0
"R8";1;1;1;1;1;1;0;1;1
"R9";1;1;1;1;1;1;0;1;1
"R10";0;1;0;1;1;0;0;0;0
"R11";1;1;1;1;1;1;1;1;1
"R12";1;1;1;1;0;1;1;1;1
"R13";1;0;0;0;0;0;0;0;0
"R14";0;1;0;0;1;0;0;0;0
"R15";1;0;1;0;0;0;0;1;1
"R16";1;0;1;0;0;0;1;1;1
"R17";1;0;1;0;0;0;1;1;1
"R18";1;0;1;0;0;0;1;0;0
"R19";1;0;0;0;0;0;0;0;0
"R20";1;1;1;1;1;0;0;0;1
"R21";0;0;1;0;0;0;1;1;1
"R22";1;0;0;0;0;0;0;0;0
"R23";1;1;1;1;1;0;1;1;1
"R24";1;1;0;1;1;0;0;0;0
"R25";1;1;1;1;1;0;1;0;1
"R26";1;1;1;1;1;1;0;1;0
"R27";1;0;1;0;0;0;0;1;0
"R28";1;1;1;1;1;1;0;1;0
"R29";1;1;1;1;0;0;1;0;0
