id_retalt;nom_ouv;volume_m3;confinement;annee_construction;classement;departement;surface_m2;surface_sig_m2;altitude_sig_m;type_ouvrage;ce500;ce2000;pe500;pe2000
48;Pelourenq 1;12000;aucun;1995;NA;5;16800;16220;1862.33333333333;retenue_altitude;0;149.608441745537;0;0
49;Pelourenq 2;80000;aucun;2008;NA;5;16000;12782;1867.23529411765;retenue_altitude;0;120.46086589392;0;0
50;Aigue Noire;6000;aucun;1999;NA;5;NA;1545;1755.33333333333;retenue_altitude;397.441994796254;7897.73739613583;0;0
51;Rocher Noir;26500;aucun;2002;NA;5;5755;5129;2165.5;retenue_altitude;935.724474767166;14166.5269478547;0;2923.20499995064
57;Fontaines;30000;aucun;1990;NA;5;NA;7015;2163.3;retenue_altitude;0;6397.28076422576;0;0
58;Grand Clos;108300;total;2011;NA;5;14370;14258;1811.59090909091;retenue_altitude;0;10550.5581971278;0;0
67;Rocher blanc;77140;aucun;2002;barrage c;5;12400;10912;2182.46666666667;retenue_altitude;1219.11884386053;8790.48918303159;0;0
68;Casse du Boeuf;50200;aucun;2000;barrage c;5;NA;7609;2247.75;retenue_altitude;580.800437932102;14118.053871472;0;0
69;Bergerie;64370;aucun;2010;barrage c;5;NA;8972;2335;retenue_altitude;958.824761088344;10468.3710191214;0;0
70;Eychauda;42830;aucun;2001;barrage c;5;9000;7523;2393.15384615385;retenue_altitude;1429.64901244595;13077.3910845063;0;40360.2650431611
95;La Grave;NA;NA;NA;NA;5;NA;1656;1790.33333333333;projet;2483.18742437117;14539.3692090803;0;0
109;Combe Javel;12950;aucun;2004;NA;5;3806;3893;1946.4;retenue_altitude;0;13015.8766851075;0;0
110;Chategre;120000;total;2012;NA;5;18600;18656;1693.39285714286;retenue_altitude;0;5633.17159039891;0;1633.52999998676
111;Pres Soubeyrands;18500;aucun;2005;NA;5;6700;6768;2042.41666666667;retenue_altitude;1896.46249472781;9296.42358008324;5018.97608545726;29634.8050000681
112;Gondrans;80000;total;2003;NA;5;NA;13132;2152.65;retenue_altitude;2729.27170332227;12465.4596216858;0;7926.78499995127
113;Peychier;91100;total;2021;NA;5;12250;13830;1842.71428571429;retenue_altitude;1916.26141685776;11815.2561251904;0;0
114;Estaris;470000;naturel;2020;NA;5;115344;82625;2558.72519083969;lac_rehausse;1480.55547652537;9601.01146352255;0;40552.3449999717
115;Alp;3000;aucun;2000;NA;5;900;1077;1915.00780325467;retenue_altitude;1728.82698506039;9541.47932143242;0;2353.75499999525
116;Cesier;60000;aucun;1999;NA;5;NA;7135;2079.92307692308;retenue_altitude;0;6299.5512271098;0;2538.05000000306
